Date2,Date,Open,High,Low,Close*,Adj Close**,Volume
2022-07-22,"Jul 22, 2022",155.39,156.28,153.41,154.09,154.09,66625400
2022-07-21,"Jul 21, 2022",154.50,155.57,151.94,155.35,155.35,65086600
2022-07-20,"Jul 20, 2022",151.12,153.72,150.37,153.04,153.04,64823400
2022-07-19,"Jul 19, 2022",147.92,151.23,146.91,151.00,151.0,82982400
2022-07-18,"Jul 18, 2022",150.74,151.57,146.70,147.07,147.07,81420900
2022-07-15,"Jul 15, 2022",149.78,150.86,148.20,150.17,150.17,76030800
2022-07-14,"Jul 14, 2022",144.08,148.95,143.25,148.47,148.47,78140700
2022-07-13,"Jul 13, 2022",142.99,146.45,142.12,145.49,145.49,71185600
2022-07-12,"Jul 12, 2022",145.76,148.45,145.05,145.86,145.86,77588800
2022-07-11,"Jul 11, 2022",145.67,146.64,143.78,144.87,144.87,63141600
2022-07-08,"Jul 08, 2022",145.26,147.55,145.00,147.04,147.04,64493200
2022-07-07,"Jul 07, 2022",143.29,146.55,143.28,146.35,146.35,66253700
2022-07-06,"Jul 06, 2022",141.35,144.12,141.08,142.92,142.92,74064300
2022-07-05,"Jul 05, 2022",137.77,141.61,136.93,141.56,141.56,73353800
2022-07-01,"Jul 01, 2022",136.04,139.04,135.66,138.93,138.93,71007500
2022-06-30,"Jun 30, 2022",137.25,138.37,133.77,136.72,136.72,98964500
2022-06-29,"Jun 29, 2022",137.46,140.67,136.67,139.23,139.23,66242400
2022-06-28,"Jun 28, 2022",142.13,143.42,137.32,137.44,137.44,67083400
2022-06-27,"Jun 27, 2022",142.70,143.49,140.97,141.66,141.66,70207900
2022-06-24,"Jun 24, 2022",139.90,141.91,139.77,141.66,141.66,89116800
2022-06-23,"Jun 23, 2022",136.82,138.59,135.63,138.27,138.27,72433800
2022-06-22,"Jun 22, 2022",134.79,137.76,133.91,135.35,135.35,73409200
2022-06-21,"Jun 21, 2022",133.42,137.06,133.32,135.87,135.87,81000500
2022-06-17,"Jun 17, 2022",130.07,133.08,129.81,131.56,131.56,134520300
2022-06-16,"Jun 16, 2022",132.08,132.39,129.04,130.06,130.06,108123900
2022-06-15,"Jun 15, 2022",134.29,137.34,132.16,135.43,135.43,91533000
2022-06-14,"Jun 14, 2022",133.13,133.89,131.48,132.76,132.76,84784300
2022-06-13,"Jun 13, 2022",132.87,135.20,131.44,131.88,131.88,122207100
2022-06-10,"Jun 10, 2022",140.28,140.76,137.06,137.13,137.13,91437900
2022-06-09,"Jun 09, 2022",147.08,147.95,142.53,142.64,142.64,69473000
2022-06-08,"Jun 08, 2022",148.58,149.87,147.46,147.96,147.96,53950200
2022-06-07,"Jun 07, 2022",144.35,149.00,144.10,148.71,148.71,67808200
2022-06-06,"Jun 06, 2022",147.03,148.57,144.90,146.14,146.14,71598400
2022-06-03,"Jun 03, 2022",146.90,147.97,144.46,145.38,145.38,88570300
2022-06-02,"Jun 02, 2022",147.83,151.27,146.86,151.21,151.21,72348100
2022-06-01,"Jun 01, 2022",149.90,151.74,147.68,148.71,148.71,74286600
2022-05-31,"May 31, 2022",149.07,150.66,146.84,148.84,148.84,103718400
2022-05-27,"May 27, 2022",145.39,149.68,145.26,149.64,149.64,90978500
2022-05-26,"May 26, 2022",137.39,144.34,137.14,143.78,143.78,90601500
2022-05-25,"May 25, 2022",138.43,141.79,138.34,140.52,140.52,92482700
2022-05-24,"May 24, 2022",140.81,141.97,137.33,140.36,140.36,104132700
2022-05-23,"May 23, 2022",137.79,143.26,137.65,143.11,143.11,117726300
2022-05-20,"May 20, 2022",139.09,140.70,132.61,137.59,137.59,137426100
2022-05-19,"May 19, 2022",139.88,141.66,136.60,137.35,137.35,136095600
2022-05-18,"May 18, 2022",146.85,147.36,139.90,140.82,140.82,109742900
2022-05-17,"May 17, 2022",148.86,149.77,146.68,149.24,149.24,78336300
2022-05-16,"May 16, 2022",145.55,147.52,144.18,145.54,145.54,86643800
2022-05-13,"May 13, 2022",144.59,148.10,143.11,147.11,147.11,113990900
2022-05-12,"May 12, 2022",142.77,146.20,138.80,142.56,142.56,182602000
2022-05-11,"May 11, 2022",153.50,155.45,145.81,146.50,146.5,142689800
2022-05-10,"May 10, 2022",155.52,156.74,152.93,154.51,154.51,115366700
2022-05-09,"May 09, 2022",154.93,155.83,151.49,152.06,152.06,131577900
2022-05-06,"May 06, 2022",156.01,159.44,154.18,157.28,157.28,116124600
2022-05-05,"May 05, 2022",163.85,164.08,154.95,156.77,156.54,130525300
2022-05-04,"May 04, 2022",159.67,166.48,159.26,166.02,165.78,108256500
2022-05-03,"May 03, 2022",158.15,160.71,156.32,159.48,159.25,88966500
2022-05-02,"May 02, 2022",156.71,158.23,153.27,157.96,157.73,123055300
2022-04-29,"Apr 29, 2022",161.84,166.20,157.25,157.65,157.42,131747600
2022-04-28,"Apr 28, 2022",159.25,164.52,158.93,163.64,163.4,130216800
2022-04-27,"Apr 27, 2022",155.91,159.79,155.38,156.57,156.34,88063200
2022-04-26,"Apr 26, 2022",162.25,162.34,156.72,156.80,156.57,95623200
2022-04-25,"Apr 25, 2022",161.12,163.17,158.46,162.88,162.64,96046400
2022-04-22,"Apr 22, 2022",166.46,167.87,161.50,161.79,161.55,84882400
2022-04-21,"Apr 21, 2022",168.91,171.53,165.91,166.42,166.18,87227800
2022-04-20,"Apr 20, 2022",168.76,168.88,166.10,167.23,166.98,67929800
2022-04-19,"Apr 19, 2022",165.02,167.82,163.91,167.40,167.15,67723800
2022-04-18,"Apr 18, 2022",163.92,166.60,163.57,165.07,164.83,69023900
2022-04-14,"Apr 14, 2022",170.62,171.27,165.04,165.29,165.05,75329400
2022-04-13,"Apr 13, 2022",167.39,171.04,166.77,170.40,170.15,70618900
2022-04-12,"Apr 12, 2022",168.02,169.87,166.64,167.66,167.41,79265200
2022-04-11,"Apr 11, 2022",168.71,169.03,165.50,165.75,165.51,72246700
2022-04-08,"Apr 08, 2022",171.78,171.78,169.20,170.09,169.84,76575500
2022-04-07,"Apr 07, 2022",171.16,173.36,169.85,172.14,171.89,77594700
2022-04-06,"Apr 06, 2022",172.36,173.63,170.13,171.83,171.58,89058800
2022-04-05,"Apr 05, 2022",177.50,178.30,174.42,175.06,174.8,73401800
2022-04-04,"Apr 04, 2022",174.57,178.49,174.44,178.44,178.18,76468400
2022-04-01,"Apr 01, 2022",174.03,174.88,171.94,174.31,174.05,78751300
2022-03-31,"Mar 31, 2022",177.84,178.03,174.40,174.61,174.35,103049300
2022-03-30,"Mar 30, 2022",178.55,179.61,176.70,177.77,177.51,92633200
2022-03-29,"Mar 29, 2022",176.69,179.01,176.34,178.96,178.7,100589400
2022-03-28,"Mar 28, 2022",172.17,175.73,172.00,175.60,175.34,90371900
2022-03-25,"Mar 25, 2022",173.88,175.28,172.75,174.72,174.46,80546200
2022-03-24,"Mar 24, 2022",171.06,174.14,170.21,174.07,173.81,90131400
2022-03-23,"Mar 23, 2022",167.99,172.64,167.65,170.21,169.96,98062700
2022-03-22,"Mar 22, 2022",165.51,169.42,164.91,168.82,168.57,81532000
2022-03-21,"Mar 21, 2022",163.51,166.35,163.01,165.38,165.14,95811400
2022-03-18,"Mar 18, 2022",160.51,164.48,159.76,163.98,163.74,123511700
2022-03-17,"Mar 17, 2022",158.61,161.00,157.63,160.62,160.38,75615400
2022-03-16,"Mar 16, 2022",157.05,160.00,154.46,159.59,159.36,102300200
2022-03-15,"Mar 15, 2022",150.90,155.57,150.38,155.09,154.86,92964300
2022-03-14,"Mar 14, 2022",151.45,154.12,150.10,150.62,150.4,108732100
2022-03-11,"Mar 11, 2022",158.93,159.28,154.50,154.73,154.5,96970100
2022-03-10,"Mar 10, 2022",160.20,160.39,155.98,158.52,158.29,105342000
2022-03-09,"Mar 09, 2022",161.48,163.41,159.41,162.95,162.71,91454900
2022-03-08,"Mar 08, 2022",158.82,162.88,155.80,157.44,157.21,131148300
2022-03-07,"Mar 07, 2022",163.36,165.02,159.04,159.30,159.07,96418800
2022-03-04,"Mar 04, 2022",164.49,165.55,162.10,163.17,162.93,83737200
2022-03-03,"Mar 03, 2022",168.47,168.91,165.55,166.23,165.99,76678400
2022-03-02,"Mar 02, 2022",164.39,167.36,162.95,166.56,166.32,79724800
